"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CCN4",539.905753590057,2.05557619384693,0.342689391306959,5.99836541775428,1.99313606425965e-09,2.58528486420551e-07
"PRPH",155.295647640818,-1.75191656326777,0.292243248612603,-5.99472039674083,2.03835846465983e-09,2.62153627624386e-07
"SCGN",197.80388934538,-1.72815717559864,0.288799977932077,-5.9839241954689,2.17824720447656e-09,2.77790584665011e-07
"PCK1",1223.99652368051,-2.00509964009514,0.335205193714246,-5.98170815278132,2.20809646149931e-09,2.79250599164279e-07
"ST6GALNAC5",305.732290134643,1.49058852469447,0.249288570500009,5.97936969875805,2.24002657373431e-09,2.80947465148693e-07
"PCSK9",147.675437339872,2.15022497763779,0.361033774358963,5.95574467085703,2.58890256634e-09,3.22042502842425e-07
"SYNC",251.813461778257,1.64227808741009,0.275995404663089,5.95038199789899,2.67517384686373e-09,3.30068604065073e-07
"RGS9",414.706677266465,-1.61220669899431,0.271326965898324,-5.94193317150225,2.81680259740538e-09,3.44740292082452e-07
"SOD2",34044.7863813772,2.07233223928147,0.349078816350652,5.93657404063098,2.91039513111171e-09,3.5334525207801e-07
"TGFBI",8526.26484672378,1.70514342250711,0.287555365915541,5.92979170142815,3.03319213359118e-09,3.64387456016992e-07
"GFPT2",930.568861752642,1.39374738783685,0.235076167683851,5.92891828027107,3.04936787784383e-09,3.64387456016992e-07
"PCSK1",242.270910175474,1.91032568226311,0.323088515348654,5.91270067337932,3.36543440815263e-09,3.99014317016596e-07
"ODAM",86.6091619357638,2.33167827503707,0.394683453400482,5.90771732371343,3.46880563765507e-09,4.08082126798863e-07
"CD14",5745.3545127832,1.10908608387924,0.188053831387141,5.89770533095919,3.68591451557423e-09,4.30287989910419e-07
"PDPN",1648.98056494459,1.68214428576552,0.28534495811767,5.89512531380294,3.74397138697344e-09,4.32798890238943e-07
"CD300C",197.916462519955,1.59401642928917,0.270437026020442,5.89422407406848,3.76446056349107e-09,4.32798890238943e-07
"ALPL",1218.60024166898,2.04493515265954,0.350143849120194,5.84027152782449,5.21158116238175e-09,5.94668840002297e-07
"COL15A1",4330.0016095029,1.30845427802583,0.224160198422379,5.83713918543356,5.31047322549417e-09,6.01430907985817e-07
"PLA2G7",856.785863280207,1.42682577764158,0.244640336254454,5.8323406494893,5.46551926388691e-09,6.1440533591665e-07
"FAP",381.690242999634,2.22722228645933,0.38224478920155,5.826691035113,5.65371417030342e-09,6.30887987121505e-07
"FAM167A",263.646980533377,-1.80542623200529,0.309959432835922,-5.82471782028649,5.72091784257074e-09,6.33727366269004e-07
"CTSB",30583.462022719,1.14475243904259,0.198291386432464,5.77308202659867,7.78345267660986e-09,8.55954187103125e-07
"ADGRE2",1993.17659820803,2.02055311663366,0.35045450457288,5.7655218873452,8.14055360103268e-09,8.88784470858072e-07
"ZP3",3313.13121464406,5.42518771052895,0.942139594267132,5.75836929425419,8.49303913664679e-09,9.20645442412512e-07
"CALU",5601.98505299394,1.25797879617727,0.218575134611977,5.7553609581917,8.64568577337845e-09,9.30545583665187e-07
"PHLDA1",1605.56984013066,1.78075147791247,0.31005857803849,5.74327434892452,9.28630869390114e-09,9.9245789252566e-07
"MEDAG",485.666095033875,1.60447655812736,0.279595431103982,5.73856501085189,9.54821111399788e-09,1.01331225081141e-06
